,Title,Year,Age,IMDb
222,Imposters,2017,16+,7.8
223,Queer as Folk,1999,18+,8.2
224,Heartland,2007,7+,8.4
225,The Staircase,2005,16+,7.9
226,Madam Secretary,2014,16+,7.6
227,Chewing Gum,2015,16+,7.7
228,Glee,2009,16+,6.7
229,Fairy Tail,2009,16+,8
230,The Order,2019,18+,6.9
231,Legacies,2018,16+,7.5
232,North & South,2004,7+,8.6
233,Helix,2014,16+,6.8
234,Safe,2018,18+,7.3
235,Evil Genius,2018,18+,7.6
236,Marvel's Iron Fist,2017,18+,6.5
237,Lilyhammer,2012,18+,8
238,Voltron: Legendary Defender,2016,7+,8.1
239,Blue Mountain State,2010,18+,8.3
240,Pokémon,1997,7+,7.5
241,Cheers,1982,7+,7.8
242,Marianne,2019,18+,7.5
243,Star Trek: Enterprise,2001,7+,7.5
244,Portlandia,2011,16+,7.8
245,Better Than Us,2018,,7.4
246,Five Came Back,2017,16+,8.3
247,American Crime,2015,16+,7.8
248,Skins,2007,18+,8.2
249,Glitch,2015,16+,7.4
250,GHOUL,2018,18+,7.1
251,JoJo's Bizarre Adventure,2012,18+,8.4
252,The Society,2019,18+,7
253,Code Geass: Lelouch of the Rebellion,2006,18+,8.6
254,Dracula,2020,18+,6.8
255,Quantico,2015,16+,6.7
256,The Innocence Files,2020,,8
257,Medici: Masters of Florence,2016,7+,7.9
258,She-Ra and the Princesses of Power,2018,all,7.3
259,Versailles,2015,16+,7.9
260,Rise of Empires: Ottoman,2020,18+,8
261,The Mechanism,2018,16+,8.4
262,Everything Sucks!,2018,16+,7.5
263,Raising Dion,2019,7+,7.2
264,All American,2018,16+,7.7
265,Fullmetal Alchemist,2003,16+,8.6
266,The Rain,2018,18+,6.3
267,ERASED,2016,16+,8.5
268,Nailed It!,2018,7+,7.4
269,Last Tango in Halifax,2012,16+,8.3
270,Star-Crossed,2014,16+,7.3
271,The Politician,2019,16+,7.5
272,Documentary Now!,2015,18+,8.1
273,Baby,2018,18+,6.8
274,Secret City,2016,16+,7.4
275,Abstract: The Art of Design,2017,16+,8.4
276,Shooter,2016,16+,7.5
277,Marcella,2016,18+,7.4
278,The Chef Show,2019,18+,8.2
279,Rurouni Kenshin,1996,16+,8.5
280,The Seven Deadly Sins,2014,16+,8.1
281,InuYasha,2000,16+,7.9
282,Yeh Meri Family,2018,,9.2
283,The Circle,2020,18+,7.5
284,The Devil Next Door,2019,18+,7.6
285,Flowers,2016,,8.2
286,Descendants of the Sun,2016,16+,8.4
287,The Hollow,2018,7+,7.2
288,Frontier,2016,18+,7.2
289,Your Lie in April,2014,7+,8.6
290,Ancient Aliens,2010,7+,7.3
291,Sword Art Online,2012,16+,7.6
292,Frequency,2016,7+,7.5
293,Wentworth,2013,18+,8.6
294,Beauty and the Beast,2012,16+,7
295,Cold Justice,2013,16+,7.9
296,Hyperdrive,2019,7+,8.1
297,Time: The Kalief Browder Story,2017,16+,8.5
298,The Toys That Made Us,2017,16+,8.1
299,Seven Seconds,2018,18+,7.7
300,Spinning Out,2020,18+,7.7
301,Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4
302,El internado,2007,7+,8.2
303,Frozen Planet,2011,all,9
304,London Spy,2015,18+,7.5
305,Parasyte -the maxim-,2014,18+,8.4
306,Containment,2016,16+,7.2
307,Black Lightning,2018,16+,6.1
308,Merlí,2015,16+,8.6
309,Derek,2013,16+,8
310,Last Chance U,2016,16+,8.5
311,Mars,2016,7+,7.5
312,Love is Blind,2020,7+,6
313,Love 101,2020,18+,7.7
314,3%,2016,7+,7.4
315,Zoo,2015,16+,6.8
316,Daybreak,2019,18+,6.7
317,Hemlock Grove,2013,18+,7.1
318,Trailer Park Boys,2001,18+,8.4
319,Private Practice,2007,16+,6.6
320,Ragnarok,2020,18+,7.5
321,Akame ga Kill!,2014,18+,7.9
322,Insatiable,2018,16+,6.6
323,No Tomorrow,2016,7+,7.2
324,The Ranch,2016,16+,7.5
325,Ramayan,1987,all,9.3
326,Surviving R. Kelly,2019,18+,7.6
327,Easy,2016,18+,6.9
328,Self Made: Inspired by the Life of Madam C.J. Walker,2020,16+,7.4
329,Knightfall,2017,16+,6.8
330,Kim's Convenience,2016,16+,8.1
331,Kengan Ashura,2019,,8
332,Spotless,2015,,7.9
333,Carmen Sandiego,2019,7+,7.9
334,Inside Bill's Brain: Decoding Bill Gates,2019,16+,8
335,Saint Seiya,1986,7+,8.4
336,Flint Town,2018,18+,8
337,Rake,2010,16+,8.6
338,Rilakkuma and Kaoru,2019,7+,8.4
339,Scooby-Doo! Mystery Incorporated,2010,7+,8
340,anohana: The Flower We Saw That Day,2011,16+,8.2
341,Africa,2013,all,9
342,The Frankenstein Chronicles,2015,16+,7.3
343,Meteor Garden,2018,16+,8.2
344,Wu Assassins,2019,18+,6.4
345,The Black Donnellys,2007,16+,8.1
346,H2O: Just Add Water,2006,all,7.2
347,Collateral,2018,7+,6.7
348,1983,2018,18+,6.8
349,November 13: Attack on Paris,2018,18+,8.3
350,Black Butler,2008,16+,7.8
351,Green Eggs and Ham,2019,,8.2
352,The Confession Tapes,2017,16+,7.5
353,Bad Blood,2017,18+,7.5
354,Formula 1: Drive to Survive,2019,16+,8.6
355,The Great British Bake Off,2010,7+,8.6
356,The Trials of Gabriel Fernandez,2020,18+,8.2
357,Ugly Delicious,2018,18+,7.8
358,The Night Shift,2014,16+,7.4
359,Impractical Jokers,2011,16+,8.5
360,The Andy Griffith Show,1960,all,8.3
361,Itaewon Class,2020,,8.2
362,Aquarius,2015,16+,7.1
363,Caliphate,2020,,8.2
364,Black Summer,2019,18+,6.4
365,Bonding,2019,16+,7.2
366,Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.8
367,Animaniacs,1993,all,7.9
368,When Calls the Heart,2014,all,8.2
369,Young & Hungry,2014,16+,7.4
370,Club de Cuervos,2015,18+,8.2
371,I'm Sorry,2017,7+,7.9
